City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,kapa'a,22.0752,-159.319,27.49,72,5.66,5.66,US,1740527557
112,princeville,45.7668,-61.2985,3.36,77,3.09,3.09,CA,1740527559
113,west island,-12.1568,96.8225,25.99,94,2.06,2.06,CC,1740527560
114,yakeshi,49.2833,120.7333,-11.4,94,5.94,5.94,CN,1740527408
115,marsh harbour,26.5412,-77.0636,21.33,76,7.4,7.4,BS,1740527562
116,tazacorte,28.629,-17.9293,17.54,60,3.6,3.6,ES,1740527563
117,chu,43.5983,73.7614,4.9,73,5.5,5.5,KZ,1740527569
118,swift current,50.2834,-107.8014,2.45,75,7.2,7.2,CA,1740527570
119,awjilah,29.1081,21.2869,10.39,65,2.01,2.01,LY,1740527572
120,vredendal,-31.6683,18.5012,21.98,58,2.47,2.47,ZA,1740527574
121,san luis de la loma,17.2706,-100.8939,27.28,64,2.0,2.0,MX,1740527575
122,tolanaro,-25.0319,46.9987,26.04,78,5.14,5.14,MG,1740527576
123,pisco,-13.7,-76.2167,25.03,73,8.75,8.75,PE,1740527577
124,kodiak,57.79,-152.4072,3.73,100,4.63,4.63,US,1740527580
125,guerrero negro,27.9769,-114.0611,17.57,71,5.95,5.95,MX,1740527382
126,takoradi,4.8845,-1.7554,27.01,88,3.44,3.44,GH,1740527582
127,katsuura,35.1333,140.3,12.65,41,12.69,12.69,JP,1740527583
128,bredasdorp,-34.5322,20.0403,17.88,85,4.66,4.66,ZA,1740527586
129,wewak,-3.5534,143.6268,29.0,71,3.45,3.45,PG,1740527587
130,yunyang,33.4474,112.7142,4.79,74,2.27,2.27,CN,1740527588
131,carnarvon,-24.8667,113.6333,32.2,51,5.86,5.86,AU,1740527590
132,portland,45.5234,-122.6762,13.76,61,4.12,4.12,US,1740527520
133,puerto palomas,31.7667,-107.6167,25.52,7,2.39,2.39,MX,1740527592
134,gamay,12.3854,125.2979,24.33,91,5.03,5.03,PH,1740527593
135,aasiaat,68.7098,-52.8699,-17.43,74,10.35,10.35,GL,1740527594
